dateid,date,Year,Quarter,QuarterName,Month,Monthname,Day,Weekday,WeekdayName
1,2019-03-09,2019,1,Q1,3,March,9,7,Sunday
2,2019-03-10,2019,1,Q1,3,March,10,1,Monday
3,2019-03-11,2019,1,Q1,3,March,11,2,Tuesday
4,2019-03-12,2019,1,Q1,3,March,12,3,Wednesday
5,2019-03-13,2019,1,Q1,3,March,13,4,Thursday
6,2019-03-14,2019,1,Q1,3,March,14,5,Friday
7,2019-03-15,2019,1,Q1,3,March,15,6,Saturday
8,2019-03-16,2019,1,Q1,3,March,16,7,Sunday
9,2019-03-17,2019,1,Q1,3,March,17,1,Monday
10,2019-03-18,2019,1,Q1,3,March,18,2,Tuesday
11,2019-03-19,2019,1,Q1,3,March,19,3,Wednesday
12,2019-03-20,2019,1,Q1,3,March,20,4,Thursday
13,2019-03-21,2019,1,Q1,3,March,21,5,Friday
14,2019-03-22,2019,1,Q1,3,March,22,6,Saturday
15,2019-03-23,2019,1,Q1,3,March,23,7,Sunday
16,2019-03-24,2019,1,Q1,3,March,24,1,Monday
17,2019-03-25,2019,1,Q1,3,March,25,2,Tuesday
18,2019-03-26,2019,1,Q1,3,March,26,3,Wednesday
19,2019-03-27,2019,1,Q1,3,March,27,4,Thursday
20,2019-03-28,2019,1,Q1,3,March,28,5,Friday
21,2019-03-29,2019,1,Q1,3,March,29,6,Saturday
22,2019-03-30,2019,1,Q1,3,March,30,7,Sunday
23,2019-03-31,2019,1,Q1,3,March,31,1,Monday
24,2019-04-01,2019,2,Q2,4,April,1,2,Tuesday
25,2019-04-02,2019,2,Q2,4,April,2,3,Wednesday
26,2019-04-03,2019,2,Q2,4,April,3,4,Thursday
27,2019-04-04,2019,2,Q2,4,April,4,5,Friday
28,2019-04-05,2019,2,Q2,4,April,5,6,Saturday
29,2019-04-06,2019,2,Q2,4,April,6,7,Sunday
30,2019-04-07,2019,2,Q2,4,April,7,1,Monday
31,2019-04-08,2019,2,Q2,4,April,8,2,Tuesday
32,2019-04-09,2019,2,Q2,4,April,9,3,Wednesday
33,2019-04-10,2019,2,Q2,4,April,10,4,Thursday
34,2019-04-11,2019,2,Q2,4,April,11,5,Friday
35,2019-04-12,2019,2,Q2,4,April,12,6,Saturday
36,2019-04-13,2019,2,Q2,4,April,13,7,Sunday
37,2019-04-14,2019,2,Q2,4,April,14,1,Monday
38,2019-04-15,2019,2,Q2,4,April,15,2,Tuesday
39,2019-04-16,2019,2,Q2,4,April,16,3,Wednesday
40,2019-04-17,2019,2,Q2,4,April,17,4,Thursday
41,2019-04-18,2019,2,Q2,4,April,18,5,Friday
42,2019-04-19,2019,2,Q2,4,April,19,6,Saturday
43,2019-04-20,2019,2,Q2,4,April,20,7,Sunday
44,2019-04-21,2019,2,Q2,4,April,21,1,Monday
45,2019-04-22,2019,2,Q2,4,April,22,2,Tuesday
46,2019-04-23,2019,2,Q2,4,April,23,3,Wednesday
47,2019-04-24,2019,2,Q2,4,April,24,4,Thursday
48,2019-04-25,2019,2,Q2,4,April,25,5,Friday
49,2019-04-26,2019,2,Q2,4,April,26,6,Saturday
50,2019-04-27,2019,2,Q2,4,April,27,7,Sunday
51,2019-04-28,2019,2,Q2,4,April,28,1,Monday
52,2019-04-29,2019,2,Q2,4,April,29,2,Tuesday
53,2019-04-30,2019,2,Q2,4,April,30,3,Wednesday
54,2019-05-01,2019,2,Q2,5,May,1,4,Thursday
55,2019-05-02,2019,2,Q2,5,May,2,5,Friday
56,2019-05-03,2019,2,Q2,5,May,3,6,Saturday
57,2019-05-04,2019,2,Q2,5,May,4,7,Sunday
58,2019-05-05,2019,2,Q2,5,May,5,1,Monday
59,2019-05-06,2019,2,Q2,5,May,6,2,Tuesday
60,2019-05-07,2019,2,Q2,5,May,7,3,Wednesday
61,2019-05-08,2019,2,Q2,5,May,8,4,Thursday
62,2019-05-09,2019,2,Q2,5,May,9,5,Friday
63,2019-05-10,2019,2,Q2,5,May,10,6,Saturday
64,2019-05-11,2019,2,Q2,5,May,11,7,Sunday
65,2019-05-12,2019,2,Q2,5,May,12,1,Monday
66,2019-05-13,2019,2,Q2,5,May,13,2,Tuesday
67,2019-05-14,2019,2,Q2,5,May,14,3,Wednesday
68,2019-05-15,2019,2,Q2,5,May,15,4,Thursday
69,2019-05-16,2019,2,Q2,5,May,16,5,Friday
70,2019-05-17,2019,2,Q2,5,May,17,6,Saturday
71,2019-05-18,2019,2,Q2,5,May,18,7,Sunday
72,2019-05-19,2019,2,Q2,5,May,19,1,Monday
73,2019-05-20,2019,2,Q2,5,May,20,2,Tuesday
74,2019-05-21,2019,2,Q2,5,May,21,3,Wednesday
75,2019-05-22,2019,2,Q2,5,May,22,4,Thursday
76,2019-05-23,2019,2,Q2,5,May,23,5,Friday
77,2019-05-24,2019,2,Q2,5,May,24,6,Saturday
78,2019-05-25,2019,2,Q2,5,May,25,7,Sunday
79,2019-05-26,2019,2,Q2,5,May,26,1,Monday
80,2019-05-27,2019,2,Q2,5,May,27,2,Tuesday
81,2019-05-28,2019,2,Q2,5,May,28,3,Wednesday
82,2019-05-29,2019,2,Q2,5,May,29,4,Thursday
83,2019-05-30,2019,2,Q2,5,May,30,5,Friday
84,2019-05-31,2019,2,Q2,5,May,31,6,Saturday
85,2019-06-01,2019,2,Q2,6,June,1,7,Sunday
86,2019-06-02,2019,2,Q2,6,June,2,1,Monday
87,2019-06-03,2019,2,Q2,6,June,3,2,Tuesday
88,2019-06-04,2019,2,Q2,6,June,4,3,Wednesday
89,2019-06-05,2019,2,Q2,6,June,5,4,Thursday
90,2019-06-06,2019,2,Q2,6,June,6,5,Friday
91,2019-06-07,2019,2,Q2,6,June,7,6,Saturday
92,2019-06-08,2019,2,Q2,6,June,8,7,Sunday
93,2019-06-09,2019,2,Q2,6,June,9,1,Monday
94,2019-06-10,2019,2,Q2,6,June,10,2,Tuesday
95,2019-06-11,2019,2,Q2,6,June,11,3,Wednesday
96,2019-06-12,2019,2,Q2,6,June,12,4,Thursday
97,2019-06-13,2019,2,Q2,6,June,13,5,Friday
98,2019-06-14,2019,2,Q2,6,June,14,6,Saturday
99,2019-06-15,2019,2,Q2,6,June,15,7,Sunday
100,2019-06-16,2019,2,Q2,6,June,16,1,Monday
101,2019-06-17,2019,2,Q2,6,June,17,2,Tuesday
102,2019-06-18,2019,2,Q2,6,June,18,3,Wednesday
103,2019-06-19,2019,2,Q2,6,June,19,4,Thursday
104,2019-06-20,2019,2,Q2,6,June,20,5,Friday
105,2019-06-21,2019,2,Q2,6,June,21,6,Saturday
106,2019-06-22,2019,2,Q2,6,June,22,7,Sunday
107,2019-06-23,2019,2,Q2,6,June,23,1,Monday
108,2019-06-24,2019,2,Q2,6,June,24,2,Tuesday
109,2019-06-25,2019,2,Q2,6,June,25,3,Wednesday
110,2019-06-26,2019,2,Q2,6,June,26,4,Thursday
111,2019-06-27,2019,2,Q2,6,June,27,5,Friday
112,2019-06-28,2019,2,Q2,6,June,28,6,Saturday
113,2019-06-29,2019,2,Q2,6,June,29,7,Sunday
114,2019-06-30,2019,2,Q2,6,June,30,1,Monday
115,2019-07-01,2019,3,Q3,7,July,1,2,Tuesday
116,2019-07-02,2019,3,Q3,7,July,2,3,Wednesday
117,2019-07-03,2019,3,Q3,7,July,3,4,Thursday
118,2019-07-04,2019,3,Q3,7,July,4,5,Friday
119,2019-07-05,2019,3,Q3,7,July,5,6,Saturday
120,2019-07-06,2019,3,Q3,7,July,6,7,Sunday
121,2019-07-07,2019,3,Q3,7,July,7,1,Monday
122,2019-07-08,2019,3,Q3,7,July,8,2,Tuesday
123,2019-07-09,2019,3,Q3,7,July,9,3,Wednesday
124,2019-07-10,2019,3,Q3,7,July,10,4,Thursday
125,2019-07-11,2019,3,Q3,7,July,11,5,Friday
126,2019-07-12,2019,3,Q3,7,July,12,6,Saturday
127,2019-07-13,2019,3,Q3,7,July,13,7,Sunday
128,2019-07-14,2019,3,Q3,7,July,14,1,Monday
129,2019-07-15,2019,3,Q3,7,July,15,2,Tuesday
130,2019-07-16,2019,3,Q3,7,July,16,3,Wednesday
131,2019-07-17,2019,3,Q3,7,July,17,4,Thursday
132,2019-07-18,2019,3,Q3,7,July,18,5,Friday
133,2019-07-19,2019,3,Q3,7,July,19,6,Saturday
134,2019-07-20,2019,3,Q3,7,July,20,7,Sunday
135,2019-07-21,2019,3,Q3,7,July,21,1,Monday
136,2019-07-22,2019,3,Q3,7,July,22,2,Tuesday
137,2019-07-23,2019,3,Q3,7,July,23,3,Wednesday
138,2019-07-24,2019,3,Q3,7,July,24,4,Thursday
139,2019-07-25,2019,3,Q3,7,July,25,5,Friday
140,2019-07-26,2019,3,Q3,7,July,26,6,Saturday
141,2019-07-27,2019,3,Q3,7,July,27,7,Sunday
142,2019-07-28,2019,3,Q3,7,July,28,1,Monday
143,2019-07-29,2019,3,Q3,7,July,29,2,Tuesday
144,2019-07-30,2019,3,Q3,7,July,30,3,Wednesday
145,2019-07-31,2019,3,Q3,7,July,31,4,Thursday
146,2019-08-01,2019,3,Q3,8,August,1,5,Friday
147,2019-08-02,2019,3,Q3,8,August,2,6,Saturday
148,2019-08-03,2019,3,Q3,8,August,3,7,Sunday
149,2019-08-04,2019,3,Q3,8,August,4,1,Monday
150,2019-08-05,2019,3,Q3,8,August,5,2,Tuesday
151,2019-08-06,2019,3,Q3,8,August,6,3,Wednesday
152,2019-08-07,2019,3,Q3,8,August,7,4,Thursday
153,2019-08-08,2019,3,Q3,8,August,8,5,Friday
154,2019-08-09,2019,3,Q3,8,August,9,6,Saturday
155,2019-08-10,2019,3,Q3,8,August,10,7,Sunday
156,2019-08-11,2019,3,Q3,8,August,11,1,Monday
157,2019-08-12,2019,3,Q3,8,August,12,2,Tuesday
158,2019-08-13,2019,3,Q3,8,August,13,3,Wednesday
159,2019-08-14,2019,3,Q3,8,August,14,4,Thursday
160,2019-08-15,2019,3,Q3,8,August,15,5,Friday
161,2019-08-16,2019,3,Q3,8,August,16,6,Saturday
162,2019-08-17,2019,3,Q3,8,August,17,7,Sunday
163,2019-08-18,2019,3,Q3,8,August,18,1,Monday
164,2019-08-19,2019,3,Q3,8,August,19,2,Tuesday
165,2019-08-20,2019,3,Q3,8,August,20,3,Wednesday
166,2019-08-21,2019,3,Q3,8,August,21,4,Thursday
167,2019-08-22,2019,3,Q3,8,August,22,5,Friday
168,2019-08-23,2019,3,Q3,8,August,23,6,Saturday
169,2019-08-24,2019,3,Q3,8,August,24,7,Sunday
170,2019-08-25,2019,3,Q3,8,August,25,1,Monday
171,2019-08-26,2019,3,Q3,8,August,26,2,Tuesday
172,2019-08-27,2019,3,Q3,8,August,27,3,Wednesday
173,2019-08-28,2019,3,Q3,8,August,28,4,Thursday
174,2019-08-29,2019,3,Q3,8,August,29,5,Friday
175,2019-08-30,2019,3,Q3,8,August,30,6,Saturday
176,2019-08-31,2019,3,Q3,8,August,31,7,Sunday
177,2019-09-01,2019,3,Q3,9,September,1,1,Monday
178,2019-09-02,2019,3,Q3,9,September,2,2,Tuesday
179,2019-09-03,2019,3,Q3,9,September,3,3,Wednesday
180,2019-09-04,2019,3,Q3,9,September,4,4,Thursday
181,2019-09-05,2019,3,Q3,9,September,5,5,Friday
182,2019-09-06,2019,3,Q3,9,September,6,6,Saturday
183,2019-09-07,2019,3,Q3,9,September,7,7,Sunday
184,2019-09-08,2019,3,Q3,9,September,8,1,Monday
185,2019-09-09,2019,3,Q3,9,September,9,2,Tuesday
186,2019-09-10,2019,3,Q3,9,September,10,3,Wednesday
187,2019-09-11,2019,3,Q3,9,September,11,4,Thursday
