Truckid,TruckType
115,Volvo
120,Scania
121,Volvo
122,Scania
125,Volvo
126,Scania
130,Scania
133,Volvo
134,Scania
135,Volvo
136,Scania
137,Volvo
143,Volvo
144,Scania
145,Volvo
148,Scania
150,Scania
152,Scania
157,Volvo
160,Scania
161,Volvo
162,Scania
168,Scania
169,Volvo
170,Scania
178,Scania
179,Volvo
182,Scania
184,Scania
188,Scania
189,Volvo
191,Volvo
192,Scania
194,Scania
198,Scania
211,Volvo
213,Volvo
217,Volvo
229,Volvo
230,Scania
232,Scania
233,Volvo
238,Scania
240,Scania
244,Scania
245,Volvo
246,Scania
251,Volvo
252,Scania
255,Volvo
257,Volvo
261,Volvo
262,Scania
265,Volvo
266,Scania
270,Scania
272,Scania
274,Scania
275,Volvo
276,Scania
277,Volvo
280,Scania
283,Volvo
286,Scania
288,Scania
290,Scania
291,Volvo
297,Volvo
298,Scania
299,Volvo
301,Volvo
