Tripid,Dateid,Stationid,Truckid,Wastecollected
23475,1,71,133,33.36
23476,1,46,162,34.88
23477,1,40,134,34.69
23478,1,43,148,30.01
23479,1,46,169,37.47
23480,1,71,126,40.33
23481,1,46,161,41.92
23482,1,97,120,30.6
23483,1,40,137,43.56
23484,1,97,120,31.87
23485,1,71,125,32.37
23486,1,71,125,41.89
23487,1,46,161,35.7
23488,1,97,121,43.25
23489,1,43,148,34.31
23490,1,77,160,36.68
23491,1,77,152,35.93
23492,1,97,121,38.99
23493,1,40,136,36.72
23494,1,71,133,38.65
23495,1,43,144,32.98
23496,1,46,161,39.5
23497,1,43,143,34.09
23498,1,43,148,43.11
23499,1,40,134,43.0
23500,1,43,144,34.21
23501,1,71,130,35.87
23502,1,97,115,30.18
23503,1,71,130,38.81
23504,1,43,145,41.67
23505,1,46,162,38.98
23506,1,43,144,36.8
23507,1,71,126,35.25
23508,1,71,125,44.95
23509,1,40,137,44.53
23510,1,46,169,43.42
23511,1,43,143,31.06
23512,1,97,115,43.2
23513,1,97,120,37.84
23514,1,46,168,43.57
23515,1,77,152,33.78
23516,1,40,137,43.23
23517,1,43,145,31.49
23518,1,97,122,37.24
23519,1,71,130,38.23
23520,1,40,135,30.07
23521,1,97,115,39.98
23522,1,40,135,33.23
23523,1,77,152,30.9
23524,1,77,150,32.63
23525,1,43,143,31.77
23526,1,71,133,36.09
23527,1,40,135,35.46
23528,1,77,160,41.02
23529,1,77,157,43.95
23530,1,77,150,39.27
23531,1,77,157,39.86
23532,1,43,145,44.6
23533,1,40,136,37.45
23534,1,43,144,36.79
23535,1,43,148,35.25
23536,1,46,162,31.69
23537,1,71,126,33.02
23538,1,77,160,33.12
23539,1,46,168,32.94
23540,1,71,130,38.3
23541,1,46,169,30.94
23542,1,46,161,44.83
23543,1,97,120,35.1
23544,1,46,161,32.0
23545,1,97,121,40.59
23546,1,40,135,40.06
23547,1,71,130,34.28
23548,1,43,145,30.62
23549,1,46,168,35.51
23550,1,71,133,34.34
23551,1,47,170,44.11
23552,1,82,213,41.06
23553,1,48,189,33.76
23554,1,81,192,34.7
23555,1,48,188,33.53
23556,1,48,188,38.86
23557,1,82,213,42.04
23558,1,48,188,37.74
23559,1,48,184,37.6
23560,1,81,192,34.84
23561,1,48,184,30.27
23562,1,47,170,30.77
23563,1,82,211,43.04
23564,1,48,189,31.4
23565,1,82,211,40.71
23566,1,48,189,32.93
23567,1,81,191,33.05
23568,1,82,211,36.39
23569,1,48,188,37.18
23570,1,82,211,30.02
23571,1,81,198,31.24
23572,1,47,179,34.29
23573,1,48,184,40.16
23574,1,81,194,42.58
23575,1,82,211,39.86
23576,1,47,178,40.28
23577,1,47,178,41.2
23578,1,48,188,41.92
23579,1,48,189,30.36
23580,1,48,188,43.57
