dateid,date,Year,Quarter,QuarterName,Month,Monthname,Day,Weekday,WeekdayName
1,2019-01-01,2019,1,Q1,1,January,1,3,Tuesday
2,2019-01-02,2019,1,Q1,1,January,2,4,Wednesday
3,2019-01-03,2019,1,Q1,1,January,3,5,Thursday
4,2019-01-04,2019,1,Q1,1,January,4,6,Friday
5,2019-01-05,2019,1,Q1,1,January,5,7,Saturday
6,2019-01-06,2019,1,Q1,1,January,6,1,Sunday
7,2019-01-07,2019,1,Q1,1,January,7,2,Monday
8,2019-01-08,2019,1,Q1,1,January,8,3,Tuesday
9,2019-01-09,2019,1,Q1,1,January,9,4,Wednesday
10,2019-01-10,2019,1,Q1,1,January,10,5,Thursday
11,2019-01-11,2019,1,Q1,1,January,11,6,Friday
12,2019-01-12,2019,1,Q1,1,January,12,7,Saturday
13,2019-01-13,2019,1,Q1,1,January,13,1,Sunday
14,2019-01-14,2019,1,Q1,1,January,14,2,Monday
15,2019-01-15,2019,1,Q1,1,January,15,3,Tuesday
16,2019-01-16,2019,1,Q1,1,January,16,4,Wednesday
17,2019-01-17,2019,1,Q1,1,January,17,5,Thursday
18,2019-01-18,2019,1,Q1,1,January,18,6,Friday
19,2019-01-19,2019,1,Q1,1,January,19,7,Saturday
20,2019-01-20,2019,1,Q1,1,January,20,1,Sunday
21,2019-01-21,2019,1,Q1,1,January,21,2,Monday
22,2019-01-22,2019,1,Q1,1,January,22,3,Tuesday
23,2019-01-23,2019,1,Q1,1,January,23,4,Wednesday
24,2019-01-24,2019,1,Q1,1,January,24,5,Thursday
25,2019-01-25,2019,1,Q1,1,January,25,6,Friday
26,2019-01-26,2019,1,Q1,1,January,26,7,Saturday
27,2019-01-27,2019,1,Q1,1,January,27,1,Sunday
28,2019-01-28,2019,1,Q1,1,January,28,2,Monday
29,2019-01-29,2019,1,Q1,1,January,29,3,Tuesday
30,2019-01-30,2019,1,Q1,1,January,30,4,Wednesday
31,2019-01-31,2019,1,Q1,1,January,31,5,Thursday
32,2019-02-01,2019,1,Q1,2,February,1,6,Friday
33,2019-02-02,2019,1,Q1,2,February,2,7,Saturday
34,2019-02-03,2019,1,Q1,2,February,3,1,Sunday
35,2019-02-04,2019,1,Q1,2,February,4,2,Monday
36,2019-02-05,2019,1,Q1,2,February,5,3,Tuesday
37,2019-02-06,2019,1,Q1,2,February,6,4,Wednesday
38,2019-02-07,2019,1,Q1,2,February,7,5,Thursday
39,2019-02-08,2019,1,Q1,2,February,8,6,Friday
40,2019-02-09,2019,1,Q1,2,February,9,7,Saturday
41,2019-02-10,2019,1,Q1,2,February,10,1,Sunday
42,2019-02-11,2019,1,Q1,2,February,11,2,Monday
43,2019-02-12,2019,1,Q1,2,February,12,3,Tuesday
44,2019-02-13,2019,1,Q1,2,February,13,4,Wednesday
45,2019-02-14,2019,1,Q1,2,February,14,5,Thursday
46,2019-02-15,2019,1,Q1,2,February,15,6,Friday
47,2019-02-16,2019,1,Q1,2,February,16,7,Saturday
48,2019-02-17,2019,1,Q1,2,February,17,1,Sunday
49,2019-02-18,2019,1,Q1,2,February,18,2,Monday
50,2019-02-19,2019,1,Q1,2,February,19,3,Tuesday
51,2019-02-20,2019,1,Q1,2,February,20,4,Wednesday
52,2019-02-21,2019,1,Q1,2,February,21,5,Thursday
53,2019-02-22,2019,1,Q1,2,February,22,6,Friday
54,2019-02-23,2019,1,Q1,2,February,23,7,Saturday
55,2019-02-24,2019,1,Q1,2,February,24,1,Sunday
56,2019-02-25,2019,1,Q1,2,February,25,2,Monday
57,2019-02-26,2019,1,Q1,2,February,26,3,Tuesday
58,2019-02-27,2019,1,Q1,2,February,27,4,Wednesday
59,2019-02-28,2019,1,Q1,2,February,28,5,Thursday
60,2019-03-01,2019,1,Q1,3,March,1,6,Friday
61,2019-03-02,2019,1,Q1,3,March,2,7,Saturday
62,2019-03-03,2019,1,Q1,3,March,3,1,Sunday
63,2019-03-04,2019,1,Q1,3,March,4,2,Monday
64,2019-03-05,2019,1,Q1,3,March,5,3,Tuesday
65,2019-03-06,2019,1,Q1,3,March,6,4,Wednesday
66,2019-03-07,2019,1,Q1,3,March,7,5,Thursday
67,2019-03-08,2019,1,Q1,3,March,8,6,Friday
68,2019-03-09,2019,1,Q1,3,March,9,7,Saturday
69,2019-03-10,2019,1,Q1,3,March,10,1,Sunday
70,2019-03-11,2019,1,Q1,3,March,11,2,Monday
71,2019-03-12,2019,1,Q1,3,March,12,3,Tuesday
72,2019-03-13,2019,1,Q1,3,March,13,4,Wednesday
73,2019-03-14,2019,1,Q1,3,March,14,5,Thursday
74,2019-03-15,2019,1,Q1,3,March,15,6,Friday
75,2019-03-16,2019,1,Q1,3,March,16,7,Saturday
76,2019-03-17,2019,1,Q1,3,March,17,1,Sunday
77,2019-03-18,2019,1,Q1,3,March,18,2,Monday
78,2019-03-19,2019,1,Q1,3,March,19,3,Tuesday
79,2019-03-20,2019,1,Q1,3,March,20,4,Wednesday
80,2019-03-21,2019,1,Q1,3,March,21,5,Thursday
81,2019-03-22,2019,1,Q1,3,March,22,6,Friday
82,2019-03-23,2019,1,Q1,3,March,23,7,Saturday
83,2019-03-24,2019,1,Q1,3,March,24,1,Sunday
84,2019-03-25,2019,1,Q1,3,March,25,2,Monday
85,2019-03-26,2019,1,Q1,3,March,26,3,Tuesday
86,2019-03-27,2019,1,Q1,3,March,27,4,Wednesday
87,2019-03-28,2019,1,Q1,3,March,28,5,Thursday
