day,month,quarter,year,category,item,price
1,1,1,2020,Electronics,Tablet,1131
1,1,1,2020,Ebooks,Fiction,15
1,1,1,2020,Electronics,Laptop,866
1,1,1,2020,Electronics,Mobile,903
1,1,1,2020,Ebooks,Fiction,8
1,1,1,2020,Ebooks,Self Help,7
1,1,1,2020,Music,Pop,11
1,1,1,2020,Ebooks,Fiction,9
1,1,1,2020,Music,Pop,13
1,1,1,2020,Music,Pop,14
1,1,1,2020,Music,Pop,10
1,1,1,2020,Electronics,Mobile,1302
1,1,1,2020,Ebooks,Technical,41
1,1,1,2020,Music,Classical,12
1,1,1,2020,Ebooks,Technical,17
1,1,1,2020,Electronics,Laptop,1375
1,1,1,2020,Music,Classical,11
1,1,1,2020,Ebooks,Self Help,38
1,1,1,2020,Music,Pop,15
1,1,1,2020,Ebooks,Fiction,21
1,1,1,2020,Electronics,Tablet,639
1,1,1,2020,Electronics,Mobile,1248
1,1,1,2020,Music,Classical,10
1,1,1,2020,Music,Classical,15
1,1,1,2020,Music,Pop,11
1,1,1,2020,Ebooks,Self Help,8
1,1,1,2020,Electronics,Laptop,902
1,1,1,2020,Electronics,Laptop,787
1,1,1,2020,Music,Pop,14
1,1,1,2020,Ebooks,Self Help,37
1,1,1,2020,Electronics,Tablet,618
1,1,1,2020,Electronics,Laptop,942
1,1,1,2020,Electronics,Tablet,1020
1,1,1,2020,Music,Pop,12
1,1,1,2020,Electronics,Tablet,690
1,1,1,2020,Music,Classical,13
1,1,1,2020,Electronics,Tablet,1276
1,1,1,2020,Electronics,Tablet,761
1,1,1,2020,Ebooks,Technical,35
1,1,1,2020,Music,Pop,14
1,1,1,2020,Electronics,Tablet,928
1,1,1,2020,Electronics,Mobile,1136
1,1,1,2020,Electronics,Tablet,1413
1,1,1,2020,Ebooks,Fiction,13
1,1,1,2020,Ebooks,Technical,42
1,1,1,2020,Ebooks,Self Help,37
1,1,1,2020,Electronics,Tablet,807
1,1,1,2020,Electronics,Mobile,605
1,1,1,2020,Ebooks,Self Help,23
1,1,1,2020,Ebooks,Self Help,15
1,1,1,2020,Ebooks,Self Help,35
1,1,1,2020,Ebooks,Fiction,32
1,1,1,2020,Ebooks,Fiction,42
1,1,1,2020,Electronics,Tablet,675
1,1,1,2020,Music,Classical,14
1,1,1,2020,Music,Pop,10
1,1,1,2020,Music,Pop,14
1,1,1,2020,Ebooks,Fiction,43
1,1,1,2020,Music,Pop,11
1,1,1,2020,Electronics,Tablet,790
1,1,1,2020,Ebooks,Fiction,21
1,1,1,2020,Music,Pop,11
1,1,1,2020,Ebooks,Technical,7
1,1,1,2020,Ebooks,Technical,13
1,1,1,2020,Ebooks,Self Help,28
1,1,1,2020,Electronics,Tablet,687
1,1,1,2020,Music,Classical,14
1,1,1,2020,Electronics,Mobile,731
1,1,1,2020,Music,Classical,14
1,1,1,2020,Electronics,Laptop,542
1,1,1,2020,Ebooks,Fiction,35
1,1,1,2020,Ebooks,Fiction,28
1,1,1,2020,Music,Pop,10
1,1,1,2020,Ebooks,Self Help,29
1,1,1,2020,Electronics,Tablet,1383
1,1,1,2020,Music,Pop,13
1,1,1,2020,Electronics,Mobile,1400
1,1,1,2020,Ebooks,Fiction,16
1,1,1,2020,Electronics,Tablet,1051
1,1,1,2020,Ebooks,Fiction,30
1,1,1,2020,Music,Pop,13
1,1,1,2020,Music,Classical,9
1,1,1,2020,Music,Classical,14
1,1,1,2020,Electronics,Tablet,1115
1,1,1,2020,Ebooks,Technical,23
1,1,1,2020,Ebooks,Self Help,34
1,1,1,2020,Electronics,Laptop,866
1,1,1,2020,Music,Pop,10
1,1,1,2020,Ebooks,Self Help,30
1,1,1,2020,Ebooks,Self Help,14
1,1,1,2020,Electronics,Tablet,887
1,1,1,2020,Electronics,Tablet,1049
