rowid, product_id, customer_id, price, quantity,timestamp
104,8972,58516,4277,5, 2017-11-22 03:53:23
105,7905,59794,542,2, 2017-11-22 03:53:24
106,6295,86874,2706,2, 2017-11-22 03:53:25
107,6665,56517,4821,1, 2017-11-22 03:53:26
108,8851,23457,4612,3, 2017-11-22 03:53:27
109,6713,26624,1705,1, 2017-11-22 03:53:28
110,6860,8700,867,5, 2017-11-22 03:53:29
111,6808,57569,4543,2, 2017-11-22 03:53:30
112,8230,15972,3992,5, 2017-11-22 03:53:31
113,6963,81525,3314,1, 2017-11-22 03:53:32
114,8458,20992,4500,3, 2017-11-22 03:53:33
115,6630,35148,808,1, 2017-11-22 03:53:34
116,8254,35706,3109,5, 2017-11-22 03:53:35
117,8682,8237,2348,4, 2017-11-22 03:53:36
118,5988,63757,1060,1, 2017-11-22 03:53:37
119,7200,51795,4159,5, 2017-11-22 03:53:38
120,7719,23610,1636,2, 2017-11-22 03:53:39
121,7488,79598,3500,1, 2017-11-22 03:53:40
122,8851,85200,4612,4, 2017-11-22 03:53:41
123,8399,71466,2521,2, 2017-11-22 03:53:42
124,7414,36555,2368,4, 2017-11-22 03:53:43
125,7235,9599,2940,1, 2017-11-22 03:53:44
126,8867,43886,1358,3, 2017-11-22 03:53:45
127,6664,68648,3995,4, 2017-11-22 03:53:46
128,7232,18330,3797,1, 2017-11-22 03:53:47
129,8587,83612,4444,5, 2017-11-22 03:53:48
130,6675,62980,2210,4, 2017-11-22 03:53:49
131,6345,43720,4844,4, 2017-11-22 03:53:50
132,7696,10298,2753,3, 2017-11-22 03:53:51
133,8961,46592,3819,4, 2017-11-22 03:53:52
134,8317,59324,4412,5, 2017-11-22 03:53:53
135,6578,54176,1177,4, 2017-11-22 03:53:54
136,6862,88765,2248,1, 2017-11-22 03:53:55
137,7671,20918,253,5, 2017-11-22 03:53:56
138,6461,29666,1719,3, 2017-11-22 03:53:57
139,8268,47354,1509,5, 2017-11-22 03:53:58
140,7349,17061,3104,5, 2017-11-22 03:53:59
141,8575,89346,2990,5, 2017-11-22 03:54:00
142,5712,4188,3491,1, 2017-11-22 03:54:01
143,6648,5344,2262,1, 2017-11-22 03:54:02
